Average of ad_price,mileage
9373872.20,0
6336075.11,1
7537895.72,2
8126414.16,3
7379956.25,4
8489244.20,5
9455800.03,6
7532677.58,7
8431412.46,8
8885800.00,9
9082822.13,10
9259033.70,11
8887777.54,12
10590000.00,13
8192997.50,14
11162555.56,15
6804250.00,17
11955000.00,18
7286666.67,20
37990000.00,22
7899000.00,23
9490000.00,25
11450000.00,26
30490000.00,27
8689000.00,29
9591341.00,30
6770000.00,32
1899000.00,39
6290000.00,40
13290000.00,46
10285750.00,50
919000.00,52
9990000.00,55
2189000.00,64
13590000.00,65
5299000.00,70
5824500.00,80
5214000.00,81
6399000.00,84
8290000.00,85
5300000.00,89
7990000.00,91
178000.00,93
1599000.00,99
10404363.64,100
11900000.00,106
11500000.00,108
27790000.00,110
1394500.00,111
1999000.00,116
3011500.00,120
2088000.00,122
550000.00,123
1999000.00,125
2299000.00,130
2799000.00,131
6190000.00,145
1999000.00,150
799000.00,156
5150000.00,160
1999999.00,167
1599000.00,171
1599000.00,172
8690000.00,173
1899000.00,177
1599000.00,178
8255000.00,180
11770000.00,185
1599000.00,187
550000.00,188
890666.67,190
4069799.80,200
6890000.00,201
1999000.00,203
9140000.00,210
119999.00,213
2849000.00,217
2590000.00,220
2482666.67,230
11800000.00,233
1599000.00,235
2199000.00,240
1999000.00,241
2900000.00,242
2089000.00,244
2899000.00,246
11479000.00,249
4428333.33,250
699000.00,251
2199000.00,255
2750000.00,256
2749000.00,258
2598000.00,260
1599000.00,270
1167500.00,280
10350000.00,290
799000.00,296
7858428.57,300
2349500.00,315
1600000.00,326
11890000.00,330
10325000.00,350
9660000.00,357
11990000.00,365
5199500.00,370
3370000.00,380
11500000.00,387
8290000.00,388
6864749.75,400
5290000.00,438
4103005.00,450
180000.00,460
7900000.00,490
12704721.08,500
15650000.00,505
8690000.00,510
10751140.00,516
10794000.00,520
13742775.00,588
14054000.00,600
13120000.00,650
7890000.00,653
39900000.00,695
8864000.00,701
5425000.00,724
8990000.00,750
8490000.00,870
190000.00,874
9200000.00,883
8679750.00,900
8290000.00,939
7081597.50,950
8288000.00,981
6572222.11,1000
24100000.00,1001
7990000.00,1041
14113333.33,1100
11340000.00,1111
11784745.00,1118
9950000.00,1150
24245000.00,1200
2000000.00,1219
5999999.00,1230
7800000.00,1234
13982500.00,1300
8990000.00,1351
5199999.00,1400
1990000.00,1434
11889000.00,1439
9690000.00,1452
10681857.14,1500
7890000.00,1545
10290000.00,1560
6505600.00,1600
11500000.00,1623
8140000.00,1650
8390000.00,1679
4999000.00,1700
9551705.00,1715
12599000.00,1729
4990000.00,1743
5044500.00,1789
4559666.67,1800
7890000.00,1890
8161666.67,1900
2950000.00,1920
10344500.00,1950
2000000.00,1969
7985000.00,1978
7883620.00,1991
9290000.00,1994
7745333.33,2000
12100000.00,2036
8290000.00,2040
5489000.00,2080
7500000.00,2100
9990000.00,2101
8050000.00,2110
6175000.00,2200
2500000.00,2202
2500000.00,2284
11950000.00,2340
59789000.00,2399
5499000.00,2400
8799900.00,2420
9209745.00,2433
7990000.00,2493
9590000.00,2495
9399000.00,2497
8222600.00,2500
10500000.00,2513
8790000.00,2557
9100000.00,2600
10649000.00,2650
4990000.00,2660
27390000.00,2674
6909250.00,2700
6880000.00,2724
10802900.00,2740
7990000.00,2750
9900190.00,2764
8356905.00,2766
27690000.00,2780
5086000.00,2790
7990000.00,2825
8320500.00,2850
5289000.00,2856
6289333.33,2900
8595000.00,2950
10995000.00,2958
10990000.00,2999
9400776.13,3000
27790000.00,3001
8499000.00,3011
7824395.00,3027
9900190.00,3031
10500000.00,3057
2500000.00,3096
18860000.00,3100
9499000.00,3112
9990000.00,3126
5190000.00,3172
2500000.00,3196
8323800.00,3200
8500000.00,3226
2790000.00,3265
12100000.00,3278
5199000.00,3283
4230000.00,3300
11375000.00,3360
17790000.00,3400
10589945.00,3402
9361750.00,3500
2500000.00,3557
8591666.67,3600
8519645.00,3644
190000.00,3650
5099000.00,3656
6790000.00,3700
9335000.00,3706
8590000.00,3746
6893880.00,3760
7990003.00,3800
11500000.00,3865
8950000.00,3875
5099000.00,3911
7990000.00,3947
6220000.00,3950
33990000.00,3970
26750000.00,3999
12353750.00,4000
8090000.00,4005
8600000.00,4093
11490000.00,4100
9218900.00,4110
8499000.00,4118
8990000.00,4125
1690000.00,4150
6980000.00,4200
4999000.00,4255
6590000.00,4257
10890000.00,4277
7490000.00,4300
10200000.00,4324
13700000.00,4400
10793500.00,4490
10999125.00,4500
4779000.00,4572
9900000.00,4588
7340000.00,4593
10545000.00,4600
5049000.00,4615
15490000.00,4684
8999000.00,4695
8367000.00,4700
7850000.00,4725
11390000.00,4777
4999000.00,4795
8999000.00,4797
9694500.00,4800
11470000.00,4830
27700000.00,4856
8790000.00,4859
2499000.00,4877
11990000.00,4882
11190000.00,4890
9579666.67,4900
8490000.00,4950
11838000.00,4990
6972333.33,4999
10490696.22,5000
10490000.00,5034
8499999.00,5046
14399500.00,5070
8390000.00,5090
5049000.00,5092
26890000.00,5100
11420000.00,5155
8750000.00,5190
6894500.00,5200
4950000.00,5231
10700000.00,5268
9170000.00,5275
8435000.00,5300
13492378.00,5330
8490000.00,5380
2099999.00,5400
8600000.00,5473
9400000.00,5477
9089700.00,5500
9980000.00,5548
11331800.00,5580
5599000.00,5582
8045000.00,5600
12690000.00,5619
26990000.00,5620
8890000.00,5621
10990000.00,5700
4999000.00,5755
8990000.00,5760
199000.00,5770
8990000.00,5800
8700000.00,5835
10288880.86,5900
8290000.00,5905
16999999.00,5908
7790000.00,5910
8300000.00,5926
9990000.00,5980
14390000.00,5990
11200000.00,5998
11350000.00,5999
10656634.12,6000
12990000.00,6001
3599000.00,6050
9130000.00,6051
6264000.00,6100
6915000.00,6110
2990000.00,6122
30000000.00,6123
8290000.00,6167
11590000.00,6172
8600000.00,6196
11738977.00,6277
27590000.00,6300
9790000.00,6305
9590000.00,6310
5290000.00,6400
7737790.40,6500
8490000.00,6540
5099000.00,6552
10933333.33,6600
8990000.00,6601
9300000.00,6617
7800000.00,6650
9568235.00,6657
11240000.00,6700
4999000.00,6712
5599000.00,6723
9499000.00,6760
8995000.00,6765
5383000.00,6800
2599000.00,6810
9759000.00,6812
6950000.00,6822
11620000.00,6830
22490000.00,6834
10990000.00,6840
7840000.00,6846
11490000.00,6850
10876900.00,6860
7990000.00,6906
10190000.00,6952
8888000.00,6996
9178166.67,7000
7990000.00,7060
2599000.00,7098
6570000.00,7100
10990000.00,7200
13700000.00,7209
27718000.00,7212
5099000.00,7215
3890000.00,7238
6990000.00,7270
6987172.00,7275
11990000.00,7299
11365000.00,7300
9290000.00,7313
7999000.00,7320
11808435.00,7339
13560000.00,7350
8499000.00,7352
9086465.00,7379
5190000.00,7400
9790000.00,7456
8233333.33,7500
6990000.00,7510
27690000.00,7533
5250000.00,7554
11350000.00,7600
9390000.00,7649
4999000.00,7703
9035200.00,7800
11420000.00,7810
8990000.00,7830
10556520.00,7869
2599000.00,7890
7311000.00,7900
14990000.00,7901
9135000.00,7915
10799000.00,7995
9152375.00,8000
13500000.00,8038
9290000.00,8101
5299000.00,8124
99000.00,8132
5000000.00,8200
13492378.00,8288
7882500.00,8300
9499000.00,8317
11449000.00,8400
8990000.00,8430
7390000.00,8470
148000.00,8479
7325399.80,8500
2500000.00,8504
4390000.00,8518
5299000.00,8521
160000.00,8574
5180000.00,8600
10500000.00,8658
6975565.00,8660
6690000.00,8668
10490000.00,8685
380000.00,8759
6844500.00,8800
41990000.00,8803
10395000.00,8900
11999000.00,8958
9375000.00,8988
9762185.25,9000
6990000.00,9070
19095000.00,9100
14999000.00,9128
5240000.00,9130
5190000.00,9150
9890000.00,9170
6590000.00,9174
7777250.00,9200
8644500.00,9212
11860000.00,9265
5150000.00,9279
16777000.00,9283
11700000.00,9300
5250000.00,9338
11200000.00,9361
11790000.00,9369
4999999.00,9378
9835000.00,9400
390000.00,9416
11899000.00,9436
13990000.00,9452
95000.00,9468
11269170.00,9470
10051666.67,9500
8590000.00,9503
2895000.00,9545
8400000.00,9566
9245000.00,9600
11990000.00,9637
23990000.00,9678
6223333.33,9700
11490000.00,9727
11999990.00,9741
9440000.00,9751
11374285.43,9800
7790000.00,9810
9490000.00,9839
4990000.00,9857
8970000.00,9860
9800000.00,9870
10200000.00,9889
10999000.00,9896
12422500.00,9900
5690000.00,9924
11223600.00,9930
20990000.00,9950
8850000.00,9992
10000000.00,9999
8684549.55,10000
5340000.00,10030
9349000.00,10074
7890000.00,10088
9656647.50,10100
8888000.00,10117
27490000.00,10144
4120000.00,10200
8150000.00,10300
5250000.00,10325
8990000.00,10379
5149000.00,10385
10645000.00,10400
7990000.00,10429
5299000.00,10443
4983106.67,10500
27400000.00,10520
9190000.00,10550
7999000.00,10566
7948000.00,10581
8326666.67,10600
10490000.00,10608
6590000.00,10613
7990000.00,10633
2898000.00,10673
7990000.00,10690
10510000.00,10695
12580000.00,10700
5990000.00,10710
8490000.00,10713
18890000.00,10737
165000.00,10750
10990000.00,10760
10290000.00,10790
6444500.00,10800
9990000.00,10856
8999000.00,10870
7888000.00,10871
6226000.00,10900
5190000.00,10908
13492378.00,10962
12315437.50,11000
4990000.00,11003
6590000.00,11011
8590000.00,11016
10215000.00,11039
8390000.00,11043
9990000.00,11051
7795000.00,11100
143333.00,11111
7990000.00,11134
14990000.00,11138
9999999.00,11150
6790000.00,11186
9490000.00,11198
7890000.00,11200
